,subject,roi,num_voxels,run,time_point,pearson
10762,0112171_neurosketch,IT_FS,4430.0,4.0,22.0,0.1041
10763,0112171_neurosketch,IT_FS,4430.0,4.0,23.0,0.05272
10764,0112172_neurosketch,ento_FS,384.0,1.0,1.0,0.12092
10765,0112172_neurosketch,ento_FS,384.0,1.0,2.0,0.06951
10766,0112172_neurosketch,ento_FS,384.0,1.0,3.0,0.19107
10767,0112172_neurosketch,ento_FS,384.0,1.0,4.0,0.06215
10768,0112172_neurosketch,ento_FS,384.0,1.0,5.0,0.2199
10769,0112172_neurosketch,ento_FS,384.0,1.0,6.0,0.03307
10770,0112172_neurosketch,ento_FS,384.0,1.0,7.0,0.24209
10771,0112172_neurosketch,ento_FS,384.0,1.0,8.0,0.13112
10772,0112172_neurosketch,ento_FS,384.0,1.0,9.0,0.13435
10773,0112172_neurosketch,ento_FS,384.0,1.0,10.0,0.20491
10774,0112172_neurosketch,ento_FS,384.0,1.0,11.0,0.21294
10775,0112172_neurosketch,ento_FS,384.0,1.0,12.0,0.08972
10776,0112172_neurosketch,ento_FS,384.0,1.0,13.0,0.33136
10777,0112172_neurosketch,ento_FS,384.0,1.0,14.0,0.09841
10778,0112172_neurosketch,ento_FS,384.0,1.0,15.0,0.14228
10779,0112172_neurosketch,ento_FS,384.0,1.0,16.0,0.28347
10780,0112172_neurosketch,ento_FS,384.0,1.0,17.0,0.21292
10781,0112172_neurosketch,ento_FS,384.0,1.0,18.0,0.14223
10782,0112172_neurosketch,ento_FS,384.0,1.0,19.0,0.19827
